+-------------------------------+---------------------------------------------------------+---------+----------+----------+--------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                                                                                                                                                            |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                                                                                                                                                                    |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                                                                                                                                                                                  |
| *** ALSO ***                                                                                                                                                                                                                                                                                                                                                                               |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                                                                                                                                                                                  |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                                                                                                                                                                                   |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                                                                                                                                                                                  |
+-------------------------------+---------------------------------------------------------+---------+----------+----------+--------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Mod name                      | Registry name                                           | Item ID | Meta/dmg | Subtypes | Display name                               | Ore Dict keys                                                                                                                                                                                                       |
+-------------------------------+---------------------------------------------------------+---------+----------+----------+--------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Apotheosis                    | apotheosis:armor_chest_book                             |    6355 |        0 |    false | Tome of Chestplates                        |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:armor_feet_book                              |    6357 |        0 |    false | Tome of Boots                              |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:armor_head_book                              |    6354 |        0 |    false | Tome of Helmets                            |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:armor_legs_book                              |    6356 |        0 |    false | Tome of Legplates                          |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:bow_book                                     |    6361 |        0 |    false | Tome of the Archers                        |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:digger_book                                  |    6359 |        0 |    false | Tome of the Miners                         |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:farmers_leash                                |    6364 |        0 |    false | Ender-Farmer's Lead                        |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:fishing_rod_book                             |    6360 |        0 |    false | Tome of the Fishers                        |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:hellshelf                                    |    6351 |        0 |    false | Hellshelf                                  |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:lucky_foot                                   |    6365 |        0 |    false | Lucky Rabbit's Foot                        |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:null_book                                    |    6353 |        0 |    false | Tome of the Others                         |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:prismatic_altar                              |    6362 |        0 |    false | Altar of the Sea                           |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:prismatic_web                                |    6352 |        0 |    false | Prismatic Cobweb                           |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:scrap_tome                                   |    6363 |        0 |    false | Tome of Scrapping                          |                                                                                                                                                                                                                     |
| Apotheosis                    | apotheosis:weapon_book                                  |    6358 |        0 |    false | Tome of Weaponry                           |                                                                                                                                                                                                                     |
| Aquaculture                   | aquaculture:admin_fishing_rod                           |    4100 |        0 |    false | Admin Fishing Rod                          |                                                                                                                                                                                                                     |
| Aquaculture                   | aquaculture:diamond_fishing_rod                         |    4099 |        0 |    false | Diamond Fishing Rod                        |                                                                                                                                                                                                                     |
